10.866: [GC [PSYoungGen: 15513K->64K(38208K)] 348816K->348880K(387776K), 0.0086160 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
10.875: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 348816K->336849K(349568K)] 348880K->336849K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.0572880 secs] [Times: user=0.10 sys=0.00, real=0.05 secs] 
10.944: [Full GC [PSYoungGen: 23207K->0K(38208K)] [ParOldGen: 336849K->234304K(349568K)] 360057K->234304K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1643620 secs] [Times: user=0.31 sys=0.00, real=0.16 secs] 
11.122: [GC [PSYoungGen: 25290K->32K(38208K)] 259594K->259626K(387776K), 0.0122840 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
11.186: [Full GC [PSYoungGen: 28173K->0K(38208K)] [ParOldGen: 334011K->280464K(349568K)] 362184K->280464K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1775650 secs] [Times: user=0.34 sys=0.01, real=0.17 secs] 
11.404: [Full GC [PSYoungGen: 32163K->17275K(38208K)] [ParOldGen: 327002K->341828K(349568K)] 359166K->359103K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.0663040 secs] [Times: user=0.12 sys=0.00, real=0.07 secs] 
11.470: [Full GC [PSYoungGen: 17275K->17275K(38208K)] [ParOldGen: 341828K->341828K(349568K)] 359103K->359103K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.0157180 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
11.486: [Full GC [PSYoungGen: 17275K->0K(38208K)] [ParOldGen: 341828K->319436K(349568K)] 359103K->319436K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1675800 secs] [Times: user=0.31 sys=0.00, real=0.17 secs] 
11.680: [Full GC [PSYoungGen: 24136K->24136K(38208K)] [ParOldGen: 344727K->327928K(349568K)] 368864K->352065K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1875560 secs] [Times: user=0.35 sys=0.00, real=0.19 secs] 
11.879: [Full GC [PSYoungGen: 24137K->0K(38208K)] [ParOldGen: 348563K->188186K(349568K)] 372700K->188186K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1439030 secs] [Times: user=0.27 sys=0.00, real=0.14 secs] 
12.079: [GC [PSYoungGen: 23368K->64K(38208K)] 300307K->300371K(387776K), 0.0118720 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
12.106: [GC [PSYoungGen: 31513K->32K(38208K)] 331821K->331789K(387776K), 0.0149860 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
12.121: [Full GC [PSYoungGen: 32K->0K(38208K)] [ParOldGen: 331757K->231447K(349568K)] 331789K->231447K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1565600 secs] [Times: user=0.29 sys=0.00, real=0.16 secs] 
12.318: [GC [PSYoungGen: 24253K->64K(38208K)] 311825K->311889K(387776K), 0.0130310 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
12.353: [Full GC [PSYoungGen: 21568K->0K(38208K)] [ParOldGen: 335962K->196351K(349568K)] 357530K->196351K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1451950 secs] [Times: user=0.27 sys=0.00, real=0.15 secs] 
12.522: [GC [PSYoungGen: 30117K->64K(38208K)] 243062K->242981K(387776K), 0.0143380 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
12.595: [Full GC [PSYoungGen: 30814K->0K(38208K)] [ParOldGen: 329955K->246017K(349568K)] 360769K->246017K(387776K) [PSPermGen: 2870K->2870K(21248K)], 0.1559020 secs] [Times: user=0.29 sys=0.01, real=0.15 secs] 
12.807: [GC [PSYoungGen: 31852K->64K(38208K)] 340292K->339659K(387776K), 0.0153400 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
12.822: [Full GC [PSYoungGen: 64K->0K(38208K)] [ParOldGen: 339595K->244356K(349568K)] 339659K->244356K(387776K) [PSPermGen: 2872K->2872K(21248K)], 0.1619220 secs] [Times: user=0.30 sys=0.00, real=0.17 secs] 
13.043: [Full GC [PSYoungGen: 21839K->0K(38208K)] [ParOldGen: 337712K->227447K(349568K)] 359551K->227447K(387776K) [PSPermGen: 2872K->2872K(21248K)], 0.2088610 secs] [Times: user=0.27 sys=0.00, real=0.21 secs] 
Heap
 PSYoungGen      total 38208K, used 25039K [0x00000007f5560000, 0x00000007f8000000, 0x0000000800000000)
  eden space 32768K, 76% used [0x00000007f5560000,0x00000007f6dd3e70,0x00000007f7560000)
  from space 5440K, 0% used [0x00000007f7ab0000,0x00000007f7ab0000,0x00000007f8000000)
  to   space 5440K, 0% used [0x00000007f7560000,0x00000007f7560000,0x00000007f7ab0000)
 ParOldGen       total 349568K, used 266771K [0x00000007e0000000, 0x00000007f5560000, 0x00000007f5560000)
  object space 349568K, 76% used [0x00000007e0000000,0x00000007f0484da8,0x00000007f5560000)
 PSPermGen       total 21248K, used 2879K [0x00000007dae00000, 0x00000007dc2c0000, 0x00000007e0000000)
  object space 21248K, 13% used [0x00000007dae00000,0x00000007db0cff80,0x00000007dc2c0000)
